id,type,question,answer
125,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/2, House A 2 red 3 blue, House B 6 red 3 blue, observed red then red -> 6/31
Prior 1/2, House A 5 red 4 blue, House B 6 red 5 blue, observed red then blue -> 55/109

Now determine the posterior seal for:
Prior 1/7, House A 3 red 6 blue, House B 6 red 3 blue, observed red then red
Please only give the answer in reduced fractional form and only reply with the answer.",1/31
126,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/6, House A 3 red 2 blue, House B 6 red 3 blue, observed blue then red -> 6/31
Prior 3/7, House A 5 red 5 blue, House B 6 red 4 blue, observed red then red -> 1/3

Now determine the posterior seal for:
Prior 4/7, House A 6 red 5 blue, House B 5 red 2 blue, observed red then red
Please only give the answer in reduced fractional form and only reply with the answer.",42/97
127,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 4/7, House A 5 red 4 blue, House B 3 red 2 blue, observed red then red -> 100/181
Prior 1/6, House A 2 red 6 blue, House B 4 red 2 blue, observed blue then red -> 9/65

Now determine the posterior seal for:
Prior 2/3, House A 3 red 4 blue, House B 4 red 4 blue, observed blue then blue
Please only give the answer in reduced fractional form and only reply with the answer.",8/11
128,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 2/5, House A 5 red 3 blue, House B 2 red 4 blue, observed blue then red -> 75/187
Prior 1/8, House A 5 red 4 blue, House B 4 red 6 blue, observed blue then blue -> 1/15

Now determine the posterior seal for:
Prior 1/3, House A 4 red 5 blue, House B 6 red 6 blue, observed blue then blue
Please only give the answer in reduced fractional form and only reply with the answer.",11/29
129,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/8, House A 6 red 5 blue, House B 3 red 3 blue, observed blue then blue -> 10/87
Prior 1/3, House A 5 red 4 blue, House B 4 red 6 blue, observed blue then blue -> 1/5

Now determine the posterior seal for:
Prior 1/3, House A 3 red 4 blue, House B 4 red 6 blue, observed red then blue
Please only give the answer in reduced fractional form and only reply with the answer.",15/43
130,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/5, House A 6 red 2 blue, House B 4 red 6 blue, observed blue then red -> 45/269
Prior 3/5, House A 4 red 5 blue, House B 3 red 2 blue, observed red then blue -> 25/43

Now determine the posterior seal for:
Prior 3/5, House A 4 red 6 blue, House B 4 red 4 blue, observed blue then red
Please only give the answer in reduced fractional form and only reply with the answer.",7/12
131,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/2, House A 2 red 2 blue, House B 5 red 2 blue, observed red then red -> 7/27
Prior 1/6, House A 6 red 5 blue, House B 5 red 2 blue, observed blue then red -> 63/338

Now determine the posterior seal for:
Prior 1/8, House A 4 red 2 blue, House B 2 red 3 blue, observed red then red
Please only give the answer in reduced fractional form and only reply with the answer.",4/11
132,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 2/7, House A 5 red 4 blue, House B 6 red 2 blue, observed blue then red -> 14/41
Prior 1/3, House A 6 red 5 blue, House B 5 red 2 blue, observed blue then blue -> 21/32

Now determine the posterior seal for:
Prior 3/8, House A 5 red 4 blue, House B 3 red 3 blue, observed blue then blue
Please only give the answer in reduced fractional form and only reply with the answer.",1/3
133,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 2/3, House A 5 red 2 blue, House B 3 red 6 blue, observed red then red -> 80/87
Prior 3/5, House A 4 red 3 blue, House B 2 red 6 blue, observed red then red -> 12/13

Now determine the posterior seal for:
Prior 1/4, House A 4 red 3 blue, House B 6 red 6 blue, observed blue then blue
Please only give the answer in reduced fractional form and only reply with the answer.",22/127
134,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/3, House A 5 red 6 blue, House B 4 red 6 blue, observed red then blue -> 45/133
Prior 2/7, House A 5 red 2 blue, House B 3 red 5 blue, observed red then red -> 16/25

Now determine the posterior seal for:
Prior 3/7, House A 6 red 6 blue, House B 6 red 3 blue, observed red then red
Please only give the answer in reduced fractional form and only reply with the answer.",9/31
135,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/7, House A 5 red 3 blue, House B 5 red 5 blue, observed red then blue -> 9/65
Prior 2/7, House A 2 red 4 blue, House B 6 red 3 blue, observed blue then red -> 32/107

Now determine the posterior seal for:
Prior 1/7, House A 3 red 4 blue, House B 4 red 4 blue, observed red then red
Please only give the answer in reduced fractional form and only reply with the answer.",1/10
136,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 2/7, House A 4 red 4 blue, House B 4 red 6 blue, observed red then red -> 9/23
Prior 1/7, House A 2 red 3 blue, House B 2 red 5 blue, observed red then red -> 7/27

Now determine the posterior seal for:
Prior 3/7, House A 5 red 3 blue, House B 6 red 6 blue, observed red then blue
Please only give the answer in reduced fractional form and only reply with the answer.",165/389
137,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 2/5, House A 5 red 5 blue, House B 3 red 5 blue, observed blue then red -> 56/137
Prior 2/5, House A 6 red 6 blue, House B 4 red 4 blue, observed blue then red -> 7/18

Now determine the posterior seal for:
Prior 1/8, House A 3 red 6 blue, House B 5 red 5 blue, observed red then blue
Please only give the answer in reduced fractional form and only reply with the answer.",9/79
138,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/6, House A 2 red 3 blue, House B 2 red 4 blue, observed blue then red -> 9/49
Prior 4/5, House A 4 red 4 blue, House B 5 red 5 blue, observed red then blue -> 144/179

Now determine the posterior seal for:
Prior 1/2, House A 6 red 2 blue, House B 3 red 6 blue, observed blue then blue
Please only give the answer in reduced fractional form and only reply with the answer.",3/38
139,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/3, House A 5 red 5 blue, House B 6 red 2 blue, observed blue then red -> 35/89
Prior 4/5, House A 4 red 6 blue, House B 3 red 6 blue, observed red then blue -> 64/79

Now determine the posterior seal for:
Prior 4/5, House A 4 red 2 blue, House B 2 red 5 blue, observed blue then blue
Please only give the answer in reduced fractional form and only reply with the answer.",14/39
140,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 2/3, House A 2 red 4 blue, House B 3 red 6 blue, observed blue then red -> 32/47
Prior 4/5, House A 6 red 3 blue, House B 5 red 4 blue, observed red then red -> 6/7

Now determine the posterior seal for:
Prior 3/8, House A 6 red 2 blue, House B 4 red 5 blue, observed red then blue
Please only give the answer in reduced fractional form and only reply with the answer.",81/256
141,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 3/8, House A 4 red 3 blue, House B 6 red 5 blue, observed blue then red -> 22/57
Prior 2/3, House A 6 red 5 blue, House B 3 red 5 blue, observed red then red -> 56/67

Now determine the posterior seal for:
Prior 2/5, House A 6 red 3 blue, House B 2 red 3 blue, observed blue then blue
Please only give the answer in reduced fractional form and only reply with the answer.",5/32
142,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 4/7, House A 6 red 4 blue, House B 4 red 4 blue, observed red then red -> 56/83
Prior 4/7, House A 2 red 3 blue, House B 4 red 2 blue, observed red then blue -> 3/5

Now determine the posterior seal for:
Prior 1/4, House A 6 red 3 blue, House B 5 red 6 blue, observed red then red
Please only give the answer in reduced fractional form and only reply with the answer.",55/127
143,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 4/7, House A 6 red 6 blue, House B 6 red 2 blue, observed red then red -> 56/155
Prior 2/7, House A 4 red 5 blue, House B 5 red 2 blue, observed red then blue -> 7/22

Now determine the posterior seal for:
Prior 1/4, House A 5 red 2 blue, House B 2 red 6 blue, observed blue then red
Please only give the answer in reduced fractional form and only reply with the answer.",10/37
144,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 3/5, House A 6 red 2 blue, House B 2 red 5 blue, observed blue then red -> 27/47
Prior 2/7, House A 2 red 2 blue, House B 6 red 6 blue, observed red then blue -> 22/67

Now determine the posterior seal for:
Prior 3/5, House A 4 red 6 blue, House B 6 red 2 blue, observed blue then blue
Please only give the answer in reduced fractional form and only reply with the answer.",14/15
145,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/7, House A 2 red 3 blue, House B 4 red 6 blue, observed red then red -> 1/9
Prior 2/5, House A 2 red 2 blue, House B 4 red 4 blue, observed red then red -> 14/41

Now determine the posterior seal for:
Prior 2/3, House A 5 red 5 blue, House B 4 red 2 blue, observed blue then red
Please only give the answer in reduced fractional form and only reply with the answer.",25/37
146,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 2/3, House A 3 red 4 blue, House B 3 red 3 blue, observed red then blue -> 40/61
Prior 1/8, House A 6 red 5 blue, House B 6 red 6 blue, observed blue then blue -> 4/39

Now determine the posterior seal for:
Prior 2/3, House A 2 red 5 blue, House B 5 red 6 blue, observed blue then blue
Please only give the answer in reduced fractional form and only reply with the answer.",220/283
147,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/7, House A 2 red 2 blue, House B 5 red 3 blue, observed blue then blue -> 7/34
Prior 1/8, House A 5 red 6 blue, House B 6 red 6 blue, observed blue then blue -> 6/41

Now determine the posterior seal for:
Prior 3/5, House A 5 red 2 blue, House B 3 red 5 blue, observed red then red
Please only give the answer in reduced fractional form and only reply with the answer.",20/23
148,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 3/7, House A 5 red 6 blue, House B 4 red 4 blue, observed blue then red -> 63/151
Prior 3/7, House A 3 red 5 blue, House B 2 red 3 blue, observed blue then blue -> 25/53

Now determine the posterior seal for:
Prior 2/3, House A 3 red 3 blue, House B 3 red 6 blue, observed red then blue
Please only give the answer in reduced fractional form and only reply with the answer.",12/17
149,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 2/7, House A 6 red 6 blue, House B 4 red 3 blue, observed red then blue -> 21/76
Prior 2/3, House A 4 red 2 blue, House B 5 red 5 blue, observed blue then red -> 48/73

Now determine the posterior seal for:
Prior 1/7, House A 4 red 5 blue, House B 2 red 5 blue, observed blue then blue
Please only give the answer in reduced fractional form and only reply with the answer.",7/79
150,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/5, House A 3 red 5 blue, House B 3 red 4 blue, observed blue then red -> 15/79
Prior 2/3, House A 3 red 6 blue, House B 4 red 5 blue, observed red then blue -> 9/14

Now determine the posterior seal for:
Prior 1/3, House A 3 red 4 blue, House B 4 red 6 blue, observed blue then blue
Please only give the answer in reduced fractional form and only reply with the answer.",3/10
151,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/4, House A 6 red 2 blue, House B 6 red 4 blue, observed blue then blue -> 5/61
Prior 3/8, House A 6 red 4 blue, House B 3 red 6 blue, observed blue then blue -> 24/149

Now determine the posterior seal for:
Prior 4/7, House A 3 red 3 blue, House B 4 red 4 blue, observed blue then red
Please only give the answer in reduced fractional form and only reply with the answer.",7/12
152,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 4/5, House A 6 red 6 blue, House B 4 red 3 blue, observed blue then blue -> 70/81
Prior 2/5, House A 5 red 5 blue, House B 2 red 4 blue, observed blue then red -> 25/61

Now determine the posterior seal for:
Prior 1/2, House A 5 red 5 blue, House B 5 red 6 blue, observed red then red
Please only give the answer in reduced fractional form and only reply with the answer.",11/20
153,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/7, House A 2 red 4 blue, House B 4 red 2 blue, observed blue then blue -> 1/2
Prior 1/6, House A 4 red 3 blue, House B 3 red 6 blue, observed red then blue -> 8/43

Now determine the posterior seal for:
Prior 2/5, House A 6 red 5 blue, House B 6 red 3 blue, observed red then red
Please only give the answer in reduced fractional form and only reply with the answer.",24/79
154,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 2/3, House A 4 red 6 blue, House B 6 red 2 blue, observed red then blue -> 112/157
Prior 1/5, House A 2 red 5 blue, House B 3 red 6 blue, observed red then red -> 1/8

Now determine the posterior seal for:
Prior 1/5, House A 4 red 5 blue, House B 4 red 3 blue, observed red then blue
Please only give the answer in reduced fractional form and only reply with the answer.",35/179
155,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/2, House A 5 red 5 blue, House B 2 red 5 blue, observed red then red -> 14/17
Prior 1/6, House A 4 red 2 blue, House B 6 red 5 blue, observed blue then blue -> 11/161

Now determine the posterior seal for:
Prior 4/5, House A 4 red 4 blue, House B 4 red 5 blue, observed red then red
Please only give the answer in reduced fractional form and only reply with the answer.",36/43
156,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 4/7, House A 3 red 2 blue, House B 6 red 3 blue, observed red then blue -> 8/13
Prior 1/3, House A 4 red 6 blue, House B 3 red 2 blue, observed blue then blue -> 5/8

Now determine the posterior seal for:
Prior 1/5, House A 2 red 6 blue, House B 5 red 4 blue, observed blue then red
Please only give the answer in reduced fractional form and only reply with the answer.",27/167
157,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 2/3, House A 4 red 3 blue, House B 3 red 2 blue, observed red then red -> 40/61
Prior 3/8, House A 2 red 2 blue, House B 6 red 4 blue, observed blue then red -> 3/7

Now determine the posterior seal for:
Prior 2/5, House A 4 red 3 blue, House B 6 red 2 blue, observed red then red
Please only give the answer in reduced fractional form and only reply with the answer.",16/61
158,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/8, House A 4 red 5 blue, House B 4 red 3 blue, observed red then blue -> 5/41
Prior 1/5, House A 2 red 2 blue, House B 6 red 6 blue, observed blue then blue -> 11/71

Now determine the posterior seal for:
Prior 3/5, House A 6 red 5 blue, House B 4 red 6 blue, observed blue then red
Please only give the answer in reduced fractional form and only reply with the answer.",135/223
159,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/8, House A 5 red 2 blue, House B 5 red 6 blue, observed red then red -> 55/202
Prior 1/3, House A 5 red 4 blue, House B 6 red 2 blue, observed blue then blue -> 7/10

Now determine the posterior seal for:
Prior 2/3, House A 2 red 2 blue, House B 6 red 5 blue, observed blue then blue
Please only give the answer in reduced fractional form and only reply with the answer.",11/17
160,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 2/7, House A 2 red 4 blue, House B 2 red 3 blue, observed red then blue -> 16/61
Prior 1/2, House A 4 red 3 blue, House B 3 red 5 blue, observed red then red -> 8/11

Now determine the posterior seal for:
Prior 3/8, House A 3 red 3 blue, House B 6 red 4 blue, observed blue then red
Please only give the answer in reduced fractional form and only reply with the answer.",27/67
161,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 4/7, House A 4 red 6 blue, House B 3 red 4 blue, observed blue then blue -> 14/23
Prior 3/7, House A 3 red 5 blue, House B 4 red 6 blue, observed blue then blue -> 45/101

Now determine the posterior seal for:
Prior 1/5, House A 6 red 2 blue, House B 6 red 3 blue, observed red then red
Please only give the answer in reduced fractional form and only reply with the answer.",9/37
162,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/2, House A 2 red 3 blue, House B 6 red 2 blue, observed red then blue -> 7/12
Prior 1/8, House A 3 red 6 blue, House B 5 red 5 blue, observed blue then blue -> 15/71

Now determine the posterior seal for:
Prior 3/5, House A 3 red 6 blue, House B 3 red 4 blue, observed red then red
Please only give the answer in reduced fractional form and only reply with the answer.",7/15
163,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/7, House A 6 red 5 blue, House B 6 red 2 blue, observed blue then red -> 7/40
Prior 1/2, House A 2 red 3 blue, House B 2 red 6 blue, observed red then blue -> 7/12

Now determine the posterior seal for:
Prior 3/5, House A 4 red 5 blue, House B 3 red 2 blue, observed red then red
Please only give the answer in reduced fractional form and only reply with the answer.",5/11
164,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 3/8, House A 6 red 5 blue, House B 4 red 4 blue, observed red then red -> 42/97
Prior 1/4, House A 4 red 2 blue, House B 5 red 6 blue, observed red then blue -> 44/179

Now determine the posterior seal for:
Prior 1/7, House A 5 red 3 blue, House B 6 red 2 blue, observed red then blue
Please only give the answer in reduced fractional form and only reply with the answer.",5/29
165,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/3, House A 6 red 4 blue, House B 6 red 2 blue, observed blue then red -> 28/73
Prior 1/6, House A 4 red 4 blue, House B 5 red 2 blue, observed blue then red -> 6/31

Now determine the posterior seal for:
Prior 1/3, House A 6 red 2 blue, House B 6 red 6 blue, observed red then red
Please only give the answer in reduced fractional form and only reply with the answer.",33/61
166,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/2, House A 4 red 4 blue, House B 3 red 5 blue, observed blue then red -> 16/31
Prior 3/8, House A 5 red 2 blue, House B 2 red 3 blue, observed red then blue -> 10/31

Now determine the posterior seal for:
Prior 1/4, House A 3 red 6 blue, House B 2 red 2 blue, observed blue then blue
Please only give the answer in reduced fractional form and only reply with the answer.",5/11
167,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/2, House A 4 red 6 blue, House B 2 red 6 blue, observed blue then blue -> 28/73
Prior 1/4, House A 2 red 5 blue, House B 2 red 6 blue, observed red then blue -> 10/37

Now determine the posterior seal for:
Prior 4/7, House A 3 red 5 blue, House B 2 red 3 blue, observed red then blue
Please only give the answer in reduced fractional form and only reply with the answer.",25/46
168,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 4/7, House A 2 red 5 blue, House B 6 red 3 blue, observed blue then red -> 80/143
Prior 1/3, House A 5 red 5 blue, House B 3 red 5 blue, observed red then red -> 28/55

Now determine the posterior seal for:
Prior 1/6, House A 4 red 2 blue, House B 5 red 6 blue, observed blue then blue
Please only give the answer in reduced fractional form and only reply with the answer.",11/236
169,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/6, House A 5 red 6 blue, House B 4 red 2 blue, observed red then blue -> 9/53
Prior 3/7, House A 2 red 5 blue, House B 5 red 4 blue, observed blue then blue -> 15/22

Now determine the posterior seal for:
Prior 1/8, House A 3 red 5 blue, House B 4 red 2 blue, observed red then red
Please only give the answer in reduced fractional form and only reply with the answer.",15/407
170,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/2, House A 3 red 5 blue, House B 5 red 5 blue, observed red then red -> 27/83
Prior 3/8, House A 4 red 3 blue, House B 6 red 2 blue, observed red then red -> 8/33

Now determine the posterior seal for:
Prior 1/7, House A 6 red 5 blue, House B 4 red 4 blue, observed blue then blue
Please only give the answer in reduced fractional form and only reply with the answer.",14/113
171,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/6, House A 5 red 3 blue, House B 5 red 6 blue, observed blue then red -> 11/67
Prior 1/2, House A 5 red 3 blue, House B 3 red 4 blue, observed blue then red -> 15/31

Now determine the posterior seal for:
Prior 1/5, House A 2 red 4 blue, House B 4 red 3 blue, observed red then red
Please only give the answer in reduced fractional form and only reply with the answer.",7/127
172,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 3/7, House A 3 red 3 blue, House B 6 red 3 blue, observed blue then blue -> 9/14
Prior 1/6, House A 2 red 5 blue, House B 5 red 2 blue, observed red then red -> 1/51

Now determine the posterior seal for:
Prior 4/7, House A 3 red 6 blue, House B 4 red 5 blue, observed blue then blue
Please only give the answer in reduced fractional form and only reply with the answer.",2/3
173,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 3/5, House A 3 red 3 blue, House B 5 red 6 blue, observed red then blue -> 33/53
Prior 1/2, House A 6 red 5 blue, House B 4 red 5 blue, observed red then blue -> 54/109

Now determine the posterior seal for:
Prior 3/5, House A 2 red 4 blue, House B 2 red 6 blue, observed red then blue
Please only give the answer in reduced fractional form and only reply with the answer.",28/43
174,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 2/5, House A 6 red 2 blue, House B 3 red 4 blue, observed red then blue -> 1/3
Prior 2/7, House A 4 red 5 blue, House B 3 red 2 blue, observed red then blue -> 10/37

Now determine the posterior seal for:
Prior 1/7, House A 6 red 3 blue, House B 6 red 2 blue, observed red then red
Please only give the answer in reduced fractional form and only reply with the answer.",7/61
175,probability,"In the twin-house registry, a courier first chooses House A or House B using the given prior chance. From the chosen house, two stones are drawn without replacement in the order shown. The registry then writes the posterior chance that House A had been chosen.

Earlier reports:
Prior 1/2, House A 5 red 5 blue, House B 4 red 5 blue, observed red then red -> 4/7
Prior 2/5, House A 4 red 3 blue, House B 4 red 4 blue, observed blue then blue -> 4/13

Now determine the posterior seal for:
Prior 3/5, House A 6 red 3 blue, House B 5 red 5 blue, observed blue then blue
Please only give the answer in reduced fractional form and only reply with the answer.",9/25
176,probability,"In the relay charter, a message may be sent along two independent routes. A route succeeds only if every one of its stages succeeds, and the message arrives if at least one route succeeds.

Earlier charters:
Route one stages 1/2, 1/6, 2/5; route two stages 2/3, 1/5 -> 73/450
Route one stages 1/4, 1/2; route two stages 4/5, 5/6, 2/3 -> 37/72

Now determine the charter value for:
Route one stages 11/12, 4/5; route two stages 5/6, 5/8, 3/4
Please only give the answer in reduced fractional form and only reply with the answer.",67/80
177,probability,"In the relay charter, a message may be sent along two independent routes. A route succeeds only if every one of its stages succeeds, and the message arrives if at least one route succeeds.

Earlier charters:
Route one stages 3/4, 1/3, 1/2; route two stages 2/3, 1/2 -> 5/12
Route one stages 3/4, 1/3, 2/3; route two stages 2/3, 3/5 -> 1/2

Now determine the charter value for:
Route one stages 3/5, 2/5; route two stages 1/4, 1/2
Please only give the answer in reduced fractional form and only reply with the answer.",67/200
178,probability,"In the relay charter, a message may be sent along two independent routes. A route succeeds only if every one of its stages succeeds, and the message arrives if at least one route succeeds.

Earlier charters:
Route one stages 3/4, 2/3, 3/5; route two stages 5/12, 1/2 -> 107/240
Route one stages 1/5, 1/2; route two stages 1/2, 1/2, 1/6 -> 11/80

Now determine the charter value for:
Route one stages 1/4, 2/5, 4/5; route two stages 2/3, 5/6
Please only give the answer in reduced fractional form and only reply with the answer.",133/225
